gene_id	96h_WT_rep1	96h_WT_rep2	120h_WT_rep1	120h_WT_rep2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr2:147560052-147561621	40.6309033330674	46.6608499200826	870.242697213038	1151.2522018749	527.196663085271	4.53029263251175	0.249492905200481	18.1580018432645	1.1099149036089e-73	8.58496979643414e-69
chr9:32835023-32836280	63.7166438632193	42.6383628580065	913.404868522532	1383.92865263697	600.922131970182	4.44111478628188	0.264623106476421	16.782792876319	3.26130569291281e-63	1.2612773636771e-58
chr2:4436328-4437257	48.9417699239221	42.6383628580065	696.427466804536	785.145179822727	393.288194852298	4.01963460242717	0.242800269470399	16.5553135966236	1.46575749586945e-61	3.779113693017e-57
chr6:117220646-117221417	29.5497478785944	17.6989430731348	593.771491798172	788.453375805126	357.368389638757	4.88612943362095	0.299890588511863	16.2930402646753	1.10592091426055e-59	2.13851927190562e-55
chr7:28593044-28594248	40.6309033330674	62.7507981683869	817.74816453933	1152.35493386903	518.371199977454	4.24383668296536	0.260913924647436	16.2652747978089	1.74084347613652e-59	2.69301522384415e-55
chr14:54248735-54249643	55.4057772723646	47.4653473324978	684.762015099268	844.692707505911	408.08146180251	3.89797889752376	0.243573815425387	16.0032756013456	1.21225624138952e-57	1.56275992931662e-53
chr4:114841168-114841847	25.8560293937701	28.9619068469478	512.113329861292	631.865432638234	299.699174685061	4.38029873184644	0.282606541170385	15.4996367518809	3.48858875827041e-54	3.85479090392428e-50
chr15:67303530-67304792	46.1714810603038	45.8563525076674	618.268940379236	604.297132784908	328.648476683029	3.73182749603416	0.244594405668874	15.2572070723736	1.47424648437938e-52	1.4253752134222e-48
chr2:18731542-18732238	15.6983035605033	18.50344048555	444.453709970734	509.462181289466	247.029408826563	4.79637669986988	0.319067419678255	15.0324865657123	4.49799279213728e-51	3.86567496095815e-47
chr1:73105720-73106470	14.7748739392972	18.50344048555	436.287893777046	588.858884867045	264.606273267235	4.9381449707202	0.329632158496909	14.9807743068445	9.80678043178228e-51	7.58534852837496e-47
chr15:61552867-61553699	33.2434663634188	23.3304249600413	488.782426450755	620.838112696904	291.54860761778	4.30403742012002	0.2886033037777	14.9133338523223	2.69931355821228e-50	1.89805913727821e-46
chr8:103481947-103482705	57.2526365147767	65.1642904056326	642.7663889603	705.748476245148	367.732948031464	3.45885869941934	0.232902720310214	14.8510875906143	6.84490885507002e-50	4.41200008434963e-46
chr18:7989927-7990742	11.0811554544729	13.6764560110587	407.124264513875	506.153985307067	234.508965321618	5.19785792231128	0.355098758970312	14.6377811552584	1.61244992609142e-48	9.59382899102453e-45
chr12:109403561-109404451	57.2526365147767	72.4047671173695	666.097292370838	929.603071054156	431.339441764285	3.61751408996186	0.249422031304551	14.5035868365003	1.1498112468543e-47	6.35254288012047e-44
chr17:86324074-86324814	21.2388812877398	21.7214301352109	408.290809684401	533.722285160393	246.243351566936	4.45445886338979	0.309637062907321	14.3860648385076	6.32963374898479e-47	3.26389674144317e-43
chr5:64595284-64596176	37.8606144694491	27.3529120221174	464.284977869691	526.003161201462	263.87541639068	3.93352884051307	0.277534857585388	14.1730983802741	1.34435669406416e-45	6.49895634827965e-42
chr1:78081553-78082326	29.5497478785944	33.7888913214391	453.786071334949	688.104764339019	301.3073687185	4.16943962542765	0.294718062742003	14.1472144144677	1.94302640077915e-45	8.84054153220386e-42
chr1:132693733-132694615	31.3966071210066	37.8113783835152	470.117703722325	713.467600204079	313.198322357732	4.09222803175173	0.290009548470154	14.1106665395635	3.26477535810927e-45	1.40291024666131e-41
