gene_id	48h_WT_rep1	48h_WT_rep2	72h_WT_rep1	72h_WT_rep2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr16:88042485-88043194	17.3226239052259	20.7413539980855	466.623415023242	424.890157907414	232.394387708492	4.53234948131368	0.293091629936119	15.463933522433	6.07714070041039e-54	4.80604595151255e-49
chr2:37177710-37178652	33.49040621677	34.3030085352952	431.531816738974	487.470878839513	246.699027582638	3.75792108835757	0.249574628256724	15.0573041603091	3.0913807363104e-51	1.22239377075186e-46
chr3:64121237-64122413	77.3743867766756	97.3248149140933	666.740367401096	601.653246855976	360.77320398696	2.84612987080272	0.193170743734599	14.733752201695	3.91359215876864e-49	1.0316750742802e-44
chr9:86979978-86980815	36.9549309978152	39.8872192270874	463.77815029749	430.379694831282	242.749998838419	3.53471157499247	0.241555499784852	14.6331239741623	1.72673091572094e-48	3.41391969347188e-44
chr1:10603271-10604107	23.0968318736345	24.7300759207942	434.377081464725	373.288510823051	213.873125020551	4.0725515996762	0.281253928383314	14.4799812151453	1.62141480387739e-47	2.56455936699679e-43
chr10:110616966-110617470	11.5484159368173	12.763910152668	406.872855782461	365.603159129635	199.197085250395	4.97969693054545	0.34634155477714	14.3779943869275	7.11259885187066e-47	9.37487946002233e-43
chr14:87580708-87581364	39.2646141851787	38.2917304580039	426.789708862721	419.400620983545	230.936668622362	3.44988271918692	0.242839516247251	14.2064305369245	8.35783138771957e-46	9.44243910666306e-42
chr14:116836873-116837811	40.4194557788604	58.2353400715476	453.345512969735	535.778803769555	271.944778147425	3.29843981335242	0.233234723148344	14.1421473133506	2.08814064218183e-45	2.06423143182885e-41
chr8:54370943-54371674	40.4194557788604	59.8308288406311	471.365522899494	480.883434530871	263.124810512464	3.21920901148364	0.229810893630682	14.0080783840346	1.39118476852997e-44	1.22244951371582e-40
chr12:66386325-66387081	25.406515060998	31.9097753816699	404.027591056709	367.798973899182	207.28571384964	3.73215209353057	0.268609763558769	13.8943277566827	6.85642134596837e-44	5.42233225724563e-40
chr15:40955178-40955953	36.9549309978152	51.0556406106719	440.067610916228	425.988065292187	238.516561954226	3.27438528586916	0.238346783032214	13.7379042595536	6.01930630898247e-43	4.32755291035973e-39
chr1:73968286-73969490	51.9678717156776	46.2691743034214	428.686552013222	418.302713598772	236.306577907773	3.11706425653361	0.230854242557841	13.5023044064379	1.51560259313014e-41	9.98832628959202e-38
chr8:103873493-103874462	170.916555864895	174.706020214643	753.995152324141	745.479114261328	461.274210666252	2.11613233008874	0.159289507572129	13.2848193352002	2.83541964956327e-40	1.72489482743124e-36
chr9:94661315-94662459	331.439537386655	342.23234096841	1202.59855741762	1102.29901431277	744.642362521365	1.7738557966591	0.134854820217159	13.153818260279	1.6179330251206e-39	9.13947252561694e-36
chr18:61034618-61035429	66.9808124335401	55.0443625333806	491.282375979755	421.596435753093	258.725996674942	2.91777856092038	0.223331554784901	13.0647841668885	5.23328420573313e-39	2.75912698750799e-35
chr6:142654339-142654951	39.2646141851787	47.0669186879631	404.97601263196	374.386418207824	216.423490928232	3.16110264981296	0.243048573527454	13.0060530861577	1.13031023588841e-38	5.58684091843746e-35
chr15:24851111-24851978	18.4774654989076	20.7413539980855	385.0591595517	276.672660962967	175.237660002915	4.06833317963005	0.319360647142937	12.738993410823	3.58996674737085e-37	1.67005253087692e-33
chr15:73491957-73493232	50.8130301219959	51.0556406106719	485.591846528252	364.505251744861	237.991442251445	3.06238195302846	0.242915897466398	12.6067580795204	1.93802284426049e-36	8.51481103419424e-33
chr2:85131648-85132130	15.0129407178624	22.3368427671689	280.732786274145	330.470122816877	162.138173144014	3.99556894443435	0.317493801967869	12.5847147870897	2.56266687912444e-36	1.06666288141409e-32
chr10:17705064-17706232	91.2324859008563	120.459402065804	621.216131789072	543.464155462971	344.093043804676	2.44572998490185	0.195116230518203	12.5347336733921	4.81977875412261e-36	1.81508277614777e-32
chr18:25510107-25510662	41.5742973725421	36.6962416889204	416.357071534966	327.176400662556	205.451002814746	3.25890949517789	0.259937455647667	12.5372831978289	4.66723257199138e-36	1.81508277614777e-32
